11C40;
11C50;11C59
11C72;11C8F
11C92;11CA7
11CA9;
11CAA;11CB0
11CB1;
11CB2;11CB3
11CB4;
11CB5;11CB6
11D00;11D06
11D08;11D09
11D0B;11D30
11D31;11D36
11D3A;
11D3C;11D3D
11D3F;11D45
11D46;
11D47;
11D50;11D59
11D60;11D65
11D67;11D68
11D6A;11D89
11D8A;11D8E
11D90;11D91
11D93;11D94
11D95;
11D96;
11D97;
11D98;
11DA0;11DA9
11DB0;11DD8
11DD9;
11DDA;11DDB
11DE0;11DE9
11EE0;11EF2
11EF3;11EF4
11EF5;11EF6
11F00;11F01
11F02;
11F03;
11F04;11F10
11F12;11F33
11F34;11F35
11F36;11F3A
11F3E;11F3F
11F40;
11F41;
11F42;
11F50;11F59
11F5A;
11FB0;
12000;12399
12400;1246E
12480;12543
12F90;12FF0
13000;1342F
13440;
13441;13446
13447;13455
13460;143FA
14400;14646
16100;1611D
1611E;16129
1612A;1612C
1612D;1612F
16130;16139
16800;16A38
16A40;16A5E
16A60;16A69
16A70;16ABE
16AC0;16AC9
16AD0;16AED
16AF0;16AF4
16B00;16B2F
16B30;16B36
16B40;16B43
16B50;16B59
16B63;16B77
16B7D;16B8F
16D40;16D42
16D43;16D6A
16D6B;16D6C
16D70;16D79
16E40;16E7F
16EA0;16EB8
16EBB;16ED3
16F00;16F4A
16F4F;
16F50;
16F51;16F87
16F8F;16F92
16F93;16F9F
16FE0;16FE1
16FE3;
16FE4;
16FF0;16FF1
16FF2;16FF3
16FF4;16FF6
17000;18CD5
18CFF;18D1E
18D80;18DF2
1AFF0;1AFF3
1AFF5;1AFFB
1AFFD;1AFFE
1B000;1B122
1B132;
1B150;1B152
1B155;
1B164;1B167
1B170;1B2FB
1BC00;1BC6A
1BC70;1BC7C
1BC80;1BC88
1BC90;1BC99
1BC9D;1BC9E
1CCF0;1CCF9
1CF00;1CF2D
1CF30;1CF46
1D165;1D166
1D167;1D169
1D16D;1D172
1D17B;1D182
1D185;1D18B
1D1AA;1D1AD
1D242;1D244
1D400;1D454
1D456;1D49C
1D49E;1D49F
1D4A2;
1D4A5;1D4A6
1D4A9;1D4AC
1D4AE;1D4B9
1D4BB;
1D4BD;1D4C3
1D4C5;1D505
1D507;1D50A
1D50D;1D514
1D516;1D51C
1D51E;1D539
1D53B;1D53E
1D540;1D544
1D546;
1D54A;1D550
1D552;1D6A5
1D6A8;1D6C0
1D6C2;1D6DA
1D6DC;1D6FA
1D6FC;1D714
1D716;1D734
1D736;1D74E
1D750;1D76E
1D770;1D788
1D78A;1D7A8
1D7AA;1D7C2
1D7C4;1D7CB
1D7CE;1D7FF
1DA00;1DA36
1DA3B;1DA6C
1DA75;
1DA84;
1DA9B;1DA9F
1DAA1;1DAAF
1DF00;1DF09
1DF0A;
1DF0B;1DF1E
1DF25;1DF2A
1E000;1E006
1E008;1E018
1E01B;1E021
1E023;1E024
1E026;1E02A
1E030;1E06D
1E08F;
1E100;1E12C
1E130;1E136
1E137;1E13D
1E140;1E149
1E14E;
1E290;1E2AD
1E2AE;
1E2C0;1E2EB
1E2EC;1E2EF
1E2F0;1E2F9
